Date,sitename,Year,GCC,RCC,NDVI,NIRv
16/03/2017,Main,2017,0.352685895,0.398237969,0.613568367,0.052233247
17/03/2017,Main,2017,0.352685895,0.398237969,0.608677115,0.051949313
18/03/2017,Main,2017,0.352665559,0.398486934,0.607749029,0.051710409
19/03/2017,Main,2017,0.352496419,0.399561668,0.583780023,0.049504045
20/03/2017,Main,2017,0.352689424,0.400524018,0.583780023,0.049504045
21/03/2017,Main,2017,0.352716376,0.400841211,0.570749104,0.048509724
22/03/2017,Main,2017,0.352361918,0.40807824,0.621583301,0.054241633
23/03/2017,Main,2017,0.351497571,0.420882081,0.738001841,0.06671625
24/03/2017,Main,2017,0.351497571,0.421005528,0.743535069,0.067448387
25/03/2017,Main,2017,0.351228873,0.420017952,0.682407444,0.058155994
26/03/2017,Main,2017,0.35272284,0.407559007,0.674389313,0.057735165
27/03/2017,Main,2017,0.354385784,0.424048494,0.70417279,0.06000764
28/03/2017,Main,2017,0.353827208,0.423944224,0.66455341,0.056914943
29/03/2017,Main,2017,0.353556802,0.42437201,0.639759255,0.055116076
30/03/2017,Main,2017,0.353462015,0.424793529,0.565318552,0.049134807
31/03/2017,Main,2017,0.353776472,0.424793529,0.573332836,0.049271411
01/04/2017,Main,2017,0.354021706,0.419799549,0.572990235,0.049860602
02/04/2017,Main,2017,0.354139816,0.430765559,0.5823387,0.049436679
03/04/2017,Main,2017,0.354376151,0.430765559,0.552488274,0.046943512
04/04/2017,Main,2017,0.354626419,0.429339942,0.541584625,0.046125014
05/04/2017,Main,2017,0.354683563,0.427011061,0.541584625,0.045841739
06/04/2017,Main,2017,0.355143639,0.428591514,0.533757873,0.044860837
07/04/2017,Main,2017,0.355513741,0.429305804,0.533757873,0.044860837
08/04/2017,Main,2017,0.355961538,0.429418906,0.523998114,0.04422034
09/04/2017,Main,2017,0.357376708,0.429296379,0.531503267,0.044351129
10/04/2017,Main,2017,0.358452754,0.428068227,0.554468103,0.045613316
11/04/2017,Main,2017,0.358935777,0.428171526,0.554537687,0.045682733
12/04/2017,Main,2017,0.359076911,0.428171526,0.555791014,0.04632782
13/04/2017,Main,2017,0.359464417,0.428171526,0.555928328,0.046347694
14/04/2017,Main,2017,0.36054495,0.425329132,0.579863626,0.049980875
15/04/2017,Main,2017,0.36062362,0.423672934,0.69512343,0.062509141
16/04/2017,Main,2017,0.36062362,0.424019312,0.69512343,0.062509141
17/04/2017,Main,2017,0.360133216,0.424433784,0.586781584,0.049666498
18/04/2017,Main,2017,0.360736092,0.422120559,0.57947812,0.049602396
19/04/2017,Main,2017,0.361270284,0.419564597,0.614798119,0.052747492
20/04/2017,Main,2017,0.361270284,0.40617911,0.614798119,0.052747492
21/04/2017,Main,2017,0.361393,0.406695769,0.621183093,0.053082273
22/04/2017,Main,2017,0.361915734,0.40899187,0.602445573,0.051506865
23/04/2017,Main,2017,0.362113486,0.411137596,0.603516094,0.051506865
24/04/2017,Main,2017,0.36211092,0.4135286,0.603516094,0.05149078
25/04/2017,Main,2017,0.362113486,0.415582474,0.738634139,0.068051641
26/04/2017,Main,2017,0.360457342,0.414271906,0.727134397,0.066539924
27/04/2017,Main,2017,0.360546397,0.408971283,0.718663306,0.065724203
28/04/2017,Main,2017,0.358765161,0.404712177,0.637201297,0.055002121
29/04/2017,Main,2017,0.359364438,0.412644719,0.672259767,0.058571354
30/04/2017,Main,2017,0.359963714,0.396660808,0.694462781,0.06300959
01/05/2017,Main,2017,0.360695919,0.396900486,0.700204584,0.065575925
02/05/2017,Main,2017,0.360781569,0.397576012,0.646435958,0.056740916
03/05/2017,Main,2017,0.360781569,0.406491895,0.689514846,0.061896065
04/05/2017,Main,2017,0.360667669,0.410073108,0.702018141,0.062647747
05/05/2017,Main,2017,0.360524463,0.410073108,0.730011138,0.065436933
06/05/2017,Main,2017,0.361029471,0.400089199,0.614807757,0.052604666
07/05/2017,Main,2017,0.361005944,0.399597928,0.616584419,0.052762887
08/05/2017,Main,2017,0.361005944,0.401003128,0.623989694,0.053543551
09/05/2017,Main,2017,0.360984504,0.413584363,0.63909679,0.054985165
