Date,sitename,Year,GCC,RCC,NDVI,NIRv
16/03/2017,Main,2017,0.359544572,0.425785562,0.568100589,0.045206298
17/03/2017,Main,2017,0.358668208,0.425785562,0.557762543,0.044498365
18/03/2017,Main,2017,0.358277641,0.425736422,0.556636716,0.043978044
19/03/2017,Main,2017,0.358760072,0.427883465,0.546329597,0.043940972
20/03/2017,Main,2017,0.360468334,0.429156631,0.559672671,0.044331557
21/03/2017,Main,2017,0.361033915,0.429648322,0.561900507,0.044591198
22/03/2017,Main,2017,0.364679248,0.430962486,0.616785211,0.056349962
23/03/2017,Main,2017,0.365295778,0.432046862,0.723460289,0.070613983
24/03/2017,Main,2017,0.365499851,0.432088414,0.751956317,0.068119313
25/03/2017,Main,2017,0.366440905,0.431755995,0.720696468,0.065624642
26/03/2017,Main,2017,0.370054929,0.42701536,0.696152235,0.062244237
27/03/2017,Main,2017,0.370570101,0.429495412,0.663197764,0.058868868
28/03/2017,Main,2017,0.369915366,0.429544121,0.651857095,0.057173065
29/03/2017,Main,2017,0.369541726,0.436135989,0.630015693,0.054143007
30/03/2017,Main,2017,0.370980122,0.436135989,0.58567737,0.051268976
31/03/2017,Main,2017,0.370980122,0.435504515,0.599370741,0.052287327
01/04/2017,Main,2017,0.370115947,0.428492358,0.614481241,0.052923936
02/04/2017,Main,2017,0.362092498,0.431574454,0.610613011,0.051730063
03/04/2017,Main,2017,0.361459273,0.431574454,0.560340566,0.045378175
04/04/2017,Main,2017,0.361185292,0.431574454,0.5573845,0.045166387
05/04/2017,Main,2017,0.36073013,0.429475653,0.557740468,0.045779293
06/04/2017,Main,2017,0.360663931,0.43000773,0.561315148,0.046100168
07/04/2017,Main,2017,0.360663931,0.431069757,0.56257005,0.046205366
08/04/2017,Main,2017,0.360017177,0.431188174,0.560633707,0.045949084
09/04/2017,Main,2017,0.362473111,0.442958027,0.547023758,0.044565763
10/04/2017,Main,2017,0.362369088,0.442865015,0.538715961,0.042230352
11/04/2017,Main,2017,0.360579087,0.444635426,0.538637824,0.042218542
12/04/2017,Main,2017,0.358088779,0.444609782,0.53863363,0.041637776
13/04/2017,Main,2017,0.356978455,0.444609782,0.53326559,0.040449782
14/04/2017,Main,2017,0.354804692,0.443563516,0.552933757,0.043451435
15/04/2017,Main,2017,0.353090621,0.443297772,0.629576679,0.054317176
